RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/14,2/28/21,3/31/21,Bdrm,CAGR,Lat,Lng
94963,Zip,CA,CA,San Geronimo,San Francisco-Oakland-Hayward,Marin County,792597.0,900838,896481,1,13.106786929549315,38.0046478,-122.6588267
93105,Zip,CA,CA,Santa Barbara,Santa Maria-Santa Barbara,Santa Barbara County,620120.0,690505,701433,1,13.112462104108882,34.4402467,-119.7289889
94108,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,1313470.0,1497466,1488971,2,13.3616298811545,37.7909427,-122.4084994
92242,Zip,CA,CA,Earp,Riverside-San Bernardino-Ontario,San Bernardino County,73438.0,83986,83464,2,13.652332579863286,34.1705136,-114.3222577
94102,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,642866.0,735086,731345,1,13.763210373545965,37.7786871,-122.4212424
95698,Zip,CA,CA,Woodland,Sacramento--Roseville--Arden-Arcade,Yolo County,353122.0,408753,402232,3,13.907374788316787,38.8018286,-121.918866
95459,Zip,CA,CA,Manchester,Ukiah,Mendocino County,536664.0,605794,611320,3,13.911125024223722,38.9624117,-123.5951925
94938,Zip,CA,CA,Lagunitas,San Francisco-Oakland-Hayward,Marin County,777541.0,889962,887159,1,14.098034701707048,38.0152314,-122.7237843
95043,Zip,CA,CA,Paicines,San Jose-Sunnyvale-Santa Clara,San Benito County,526694.0,602374,601488,3,14.200655409023074,36.5501406,-120.9417368
95542,Zip,CA,CA,Garberville,Eureka-Arcata-Fortuna,Humboldt County,285505.0,319817,326683,2,14.422864748428225,40.0893047,-123.7038831
94109,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,716780.0,824861,820867,1,14.52147102318703,37.7929789,-122.4212424
95321,Zip,CA,CA,Groveland,Sonora,Tuolumne County,270843.0,303303,310888,3,14.785318431711362,37.8492572,-119.9277947
92210,Zip,CA,CA,Indian Wells,Riverside-San Bernardino-Ontario,Riverside County,630846.0,711053,724388,3,14.828024589202435,33.6871383,-116.3367515
92602,Zip,CA,CA,Irvine,Los Angeles-Long Beach-Anaheim,Orange County,422744.0,487846,485709,1,14.894356868459399,33.7514861,-117.7549295
94111,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,1251814.0,1441161,1442135,2,15.203616511718193,37.79593620000001,-122.4000032
92210,Zip,CA,CA,Indian Wells,Riverside-San Bernardino-Ontario,Riverside County,470383.0,534683,542231,2,15.274361530922672,33.6871383,-116.3367515
93924,Zip,CA,CA,Carmel Valley,Salinas,Monterey County,726408.0,828952,837454,1,15.287001244479686,38.5241378,-122.3787597
95064,Zip,CA,CA,Santa Cruz,Santa Cruz-Watsonville,Santa Cruz County,846365.0,960034,976757,3,15.406119109367708,36.9923139,-122.0581762
95961,Zip,CA,CA,Olivehurst,Yuba City,Yuba County,151871.0,172047,175386,1,15.48353536883276,34.5639731,-117.3498955
96136,Zip,CA,CA,Wendel,Susanville,Lassen County,149842.0,175428,173053,3,15.490316466678234,40.3168394,-120.1358346
90743,Zip,CA,CA,Seal Beach,Los Angeles-Long Beach-Anaheim,Orange County,1882886.0,2223622,2177724,3,15.658834363843589,33.7284052,-118.084295
