ZipCode,County,Lat,Lng,walk score,bike score
96117,Lassen County,40.57563579999999,-120.20510959999999,0,
95930,Butte County,39.5415926,-121.1767658,0,
92612,Orange County,33.6588951,-117.8282121,26,75
93645,Madera County,37.1602241,-119.638326,2,
96059,Tehama County,40.43501989999999,-121.82897450000002,0,10
94025,San Mateo County,37.4484914,-122.1802812,90,87
96146,Placer County,39.1630575,-120.2281933,0,25
94021,San Mateo County,37.2704205,-122.27673130000001,0,9
92620,Orange County,33.7073908,-117.7666567,49,75
93117,Santa Barbara County,34.4301656,-119.86966909999998,67,98
91917,San Diego County,32.6136117,-116.7378585,0,3
92694,Orange County,33.5507512,-117.64116740000001,29,24
94131,San Francisco County,37.740104200000005,-122.4382307,71,58
94972,Sonoma County,38.29711760000001,-122.95503490000002,0,
92604,Orange County,33.6913751,-117.7901088,38,68
95045,San Benito County,36.8322484,-121.5141615,2,19
93426,San Luis Obispo County,35.8425661,-120.9417368,0,
95420,Mendocino County,39.338086,-123.7350084,0,7
94104,San Francisco County,37.791114799999995,-122.4021273,100,87
92253,Riverside County,33.6562975,-116.2895173,0,
92660,Orange County,33.6301328,-117.8721676,19,21
93955,Monterey County,36.6216869,-121.7993168,2,16
94117,San Francisco County,34.275113,-118.7095413,81,69
95014,Santa Clara County,37.31317,-122.07238159999999,44,34
92614,Orange County,33.683249700000005,-117.83407350000002,52,78
90028,Los Angeles County,34.101218100000004,-118.32573899999998,95,75
91789,Los Angeles County,34.013076899999994,-117.84286509999998,26,20
92203,Riverside County,33.745603,-116.17139170000002,0,25
94595,Contra Costa County,37.8655663,-122.0666997,15,10
95141,Santa Clara County,37.1676857,-121.77083370000001,4,1
92806,Orange County,33.8362104,-117.8721676,55,59
92606,Orange County,33.6912614,-117.82235060000001,54,82
92270,Riverside County,33.7694489,-116.431192,0,30
92004,San Diego County,33.2566501,-116.3749797,41,38
94115,San Francisco County,37.78775220000001,-122.4382307,98,87
96080,Tehama County,38.398606799999996,-122.7520139,8,28
90017,Los Angeles County,34.054379700000005,-118.2672801,93,64
92657,Orange County,33.5974299,-117.8370041,6,12
95415,Mendocino County,39.022009000000004,-123.3822764,4,23
95428,Mendocino County,39.8066831,-123.213851,0,29
91362,Ventura County,34.1971476,-118.824722,5,6
96130,Lassen County,40.6402981,-120.6199895,0,
92782,Orange County,33.734483600000004,-117.79304009999998,40,45
93620,Merced County,37.0455625,-120.6429991,1,25
95450,Sonoma County,38.4542093,-123.11265590000001,17,10
95419,Sonoma County,38.4248846,-122.9582487,8,1
93435,San Luis Obispo County,35.5033829,-121.03924359999999,0,
90274,Los Angeles County,33.779375099999996,-118.3520389,19,15
94087,Santa Clara County,37.3492097,-122.0326019,45,73
91007,Los Angeles County,34.121697499999996,-118.0478826,60,45
93664,Fresno County,37.0875479,-118.9994357,0,1
96109,Lassen County,40.0060389,-120.11273500000001,0,
91377,Ventura County,34.1880333,-118.7606115,7,3
94508,Napa County,38.572597200000004,-122.43539950000002,19,14
90067,Los Angeles County,34.057132700000004,-118.41484979999998,93,49
90290,Los Angeles County,34.107698299999996,-118.61481,0,5
95925,Butte County,39.4828107,-121.1538564,0,21
95735,El Dorado County,38.815360600000005,-120.147383,0,
93013,Santa Barbara County,34.4212588,-119.48756680000001,0,8
93552,Los Angeles County,34.5811542,-118.0303189,7,28
95537,Humboldt County,40.724293700000004,-124.2178534,21,28
95490,Mendocino County,39.505272,-123.34861470000001,0,
94038,San Mateo County,37.5463543,-122.4863492,2,19
95558,Humboldt County,40.2800107,-124.1939287,0,
92883,Riverside County,33.74074829999999,-117.4791295,0,
94933,Marin County,38.0008669,-122.6786008,0,23
90275,Los Angeles County,33.7456493,-118.36372639999999,0,
96055,Tehama County,40.07800170000001,-122.06101740000001,0,26
91963,San Diego County,32.6590536,-116.5845767,0,
91765,Los Angeles County,33.9945546,-117.81355790000002,62,23
93206,Kern County,35.428380100000005,-119.48756680000001,0,25
94158,San Francisco County,37.7748363,-122.38725759999998,72,91
90405,Los Angeles County,34.00974600000001,-118.46595759999998,79,82
92624,Orange County,33.4559258,-117.66401869999999,64,62
95445,Mendocino County,38.805373100000004,-123.50560159999998,0,
95253,San Joaquin County,38.137643,-121.20654259999999,32,41
92823,Orange County,33.925432799999996,-117.8018337,10,5
93428,San Luis Obispo County,35.592514200000004,-121.0564425,0,
93312,Kern County,35.3734151,-119.1274334,23,45
90505,Los Angeles County,33.810177200000005,-118.3520389,77,61
96128,Lassen County,40.3494181,-120.37813799999999,0,25
94305,Santa Clara County,37.4135757,-122.1689284,7,35
95524,Humboldt County,40.822162899999995,-124.04944340000002,0,14
96035,Tehama County,40.035841299999994,-122.1973081,0,25
93901,Monterey County,36.6623815,-121.64542220000001,60,48
94568,Alameda County,37.7202463,-121.86764640000001,13,35
92692,Orange County,38.763705200000004,-121.2912463,37,39
93012,Ventura County,34.2295937,-118.9761519,4,35
93067,Santa Barbara County,34.420506599999996,-119.60173799999998,60,36
95616,Yolo County,38.5474428,-121.77653090000001,25,84
91962,San Diego County,32.7750935,-116.44299440000002,0,
92887,Orange County,33.8976995,-117.72560829999999,0,
92070,San Diego County,33.212392699999995,-116.7260713,1,25
94114,San Francisco County,37.7561438,-122.4325682,95,61
94556,Contra Costa County,37.835720200000004,-122.11782609999999,17,18
96092,Butte County,39.981157399999994,-122.01554909999999,0,25
95521,Humboldt County,40.880537200000006,-124.0874754,66,95
92801,Orange County,33.8469812,-117.9541894,62,50
92677,Orange County,33.532029200000004,-117.702148,34,25
95645,Yolo County,38.8933855,-121.7879244,0,25
95674,Sutter County,38.95786629999999,-121.47989479999998,0,25
96090,Tehama County,40.0233664,-122.12208559999999,12,30
95258,San Joaquin County,38.1673741,-121.3141291,0,48
93429,Santa Barbara County,34.8454172,-120.5451797,0,
93463,Santa Barbara County,34.6182169,-120.147383,2,1
90503,Los Angeles County,33.8409696,-118.3520389,80,66
91320,Ventura County,34.1810666,-118.9470422,27,49
95051,Santa Clara County,37.3598283,-121.98143540000001,34,75
96141,Placer County,39.0782648,-120.17624939999999,0,
94110,San Francisco County,37.7485824,-122.4184108,99,92
91344,Los Angeles County,33.880241600000005,-117.86044720000001,51,49
90808,Los Angeles County,33.8197825,-118.10641559999999,65,71
93285,Kern County,35.7249556,-118.5097517,0,
92676,Orange County,33.7480914,-117.62001380000001,1,
95410,Mendocino County,39.2134955,-123.76294650000001,6,6
93314,Kern County,35.382088,-119.2088303,0,25
95471,Sonoma County,38.5212786,-122.98168670000001,11,4
94506,Contra Costa County,34.20390870000001,-118.29358909999998,6,1
92706,Orange County,33.7645595,-117.8809574,56,50
92656,Orange County,33.5714289,-117.7314729,36,50
95456,Mendocino County,39.2717672,-123.7898088,38,13
94973,Marin County,38.0051761,-122.64187450000001,2,23
92835,Orange County,33.904155200000005,-117.9307584,22,20
93657,Fresno County,36.791681700000005,-119.44114760000001,0,
92675,Orange County,33.5039207,-117.5613246,0,
93531,Kern County,35.224821,-118.61481,0,
95432,Mendocino County,39.0963141,-123.63995619999999,0,
93001,Ventura County,33.81567709999999,-117.20881670000001,8,29
92679,Orange County,33.594175899999996,-117.5730639,0,
95717,Placer County,39.1884372,-120.84415200000001,3,1
95003,Santa Cruz County,37.9193365,-122.0780632,39,38
91301,Los Angeles County,34.1129907,-118.754782,3,
95023,San Benito County,36.9119865,-121.3084088,0,
91906,San Diego County,32.6804705,-116.49019809999999,0,
90013,Los Angeles County,34.044590500000005,-118.2405557,93,76
95551,Humboldt County,40.669131799999995,-124.1816517,0,
91361,Ventura County,34.1384626,-118.89463090000001,0,
92648,Orange County,33.678196299999996,-118.0127534,18,51
95460,Mendocino County,39.2908752,-123.6958809,0,2
91741,Los Angeles County,34.15683189999999,-117.84286509999998,4,8
93401,San Luis Obispo County,35.2454989,-120.5969758,0,31
91367,Los Angeles County,34.1785255,-118.597305,70,77
94002,San Mateo County,37.517802200000006,-122.29002879999999,45,29
95360,Stanislaus County,37.249001899999996,-121.2168466,0,
93108,Santa Barbara County,34.4381407,-119.6151426,2,1
92649,Orange County,33.721051,-118.0478826,73,74
95313,Stanislaus County,37.4121145,-121.0220422,0,25
93460,Santa Barbara County,34.6627116,-120.02029640000002,0,11
95470,Mendocino County,39.28811839999999,-123.2475594,0,
92627,Orange County,33.6496252,-117.9190418,79,75
95501,Humboldt County,40.8134774,-124.1460963,13,55
92808,Orange County,33.841606799999994,-117.702148,0,
93311,Kern County,35.1268513,-119.18557849999999,0,25
94129,San Francisco County,37.793323,-122.4665384,17,49
92260,Riverside County,33.6917281,-116.4075854,4,19
95519,Humboldt County,40.9373196,-124.03126609999998,0,29
95131,Santa Clara County,37.3902956,-121.8961047,49,66
93602,Fresno County,37.0795598,-119.3947135,0,19
91101,Los Angeles County,34.14275870000001,-118.1386005,91,79
95437,Mendocino County,39.4513714,-123.6846987,7,10
95715,Placer County,39.2444916,-120.7005044,0,
92861,Orange County,33.8177801,-117.8106269,15,46
90603,Los Angeles County,33.9443011,-117.99314720000001,75,49
91360,Ventura County,34.202469799999996,-118.8741429,41,26
91324,Los Angeles County,34.2413938,-118.5506158,47,67
91711,Los Angeles County,34.1707374,-117.702148,0,1
95648,Placer County,38.9052036,-121.3084088,9,30
92610,Orange County,33.6917217,-117.6610854,11,9
95618,Yolo County,38.518893,-121.65112579999999,0,45
93021,Ventura County,34.2942772,-118.8829816,3,6
92886,Orange County,33.901140500000004,-117.7959713,3,13
92672,Orange County,33.4154744,-117.5848025,0,4
92066,San Diego County,33.2248091,-116.49019809999999,0,
93010,Ventura County,34.2330908,-119.08090120000001,10,4
91106,Los Angeles County,34.1456654,-118.1268976,94,87
93420,San Luis Obispo County,35.1777937,-120.4818446,0,1
90802,Los Angeles County,33.7415317,-118.19417849999999,8,30
95543,Del Norte County,41.8717464,-123.881651,0,
90012,Los Angeles County,34.0653347,-118.24389099999999,91,45
93101,Santa Barbara County,34.420334000000004,-119.7107494,88,96
93003,Ventura County,34.2985355,-119.2204548,3,5
91302,Los Angeles County,34.1307949,-118.6848112,0,
93926,Monterey County,36.5283778,-121.38846709999999,0,
93033,Ventura County,34.159988500000004,-119.1274334,4,33
96121,Lassen County,40.17594769999999,-120.36660990000001,0,23
93730,Fresno County,36.906316700000005,-119.75997609999999,0,47
92653,Orange County,33.590277,-117.6962824,64,40
96068,Lassen County,41.1055174,-121.1954797,0,25
91773,Los Angeles County,34.1009953,-117.8194197,25,34
92629,Orange County,33.4699974,-117.702148,88,48
95409,Sonoma County,37.5359468,-120.86137849999999,16,39
93628,Fresno County,36.7708505,-118.92957369999999,0,
93004,Ventura County,34.2765778,-119.16813729999998,48,45
92691,Orange County,33.6062809,-117.6728185,18,25
95918,Yuba County,39.293980299999994,-121.3312882,0,5
93727,Fresno County,36.7486376,-119.70785320000002,25,52
91763,San Bernardino County,34.0745742,-117.6962824,61,48
90278,Los Angeles County,33.865913,-118.3754131,55,61
95528,Humboldt County,40.4931837,-123.8913602,0,
95697,Yolo County,38.733006200000005,-121.80572439999999,13,28
91381,Los Angeles County,33.95087279999999,-118.44551640000002,43,46
94566,Alameda County,37.6436199,-121.86764640000001,16,11
92630,Orange County,33.644751899999996,-117.6845508,67,55
90814,Los Angeles County,33.7709051,-118.14298889999999,86,68
94118,San Francisco County,37.7822891,-122.46370800000001,99,87
90803,Los Angeles County,33.7523035,-118.12982340000002,59,62
92061,San Diego County,33.3243386,-116.96169409999999,0,
94516,Contra Costa County,37.8251445,-122.1604131,8,3
95494,Mendocino County,38.9004765,-123.32616709999999,1,
91905,San Diego County,32.681070299999995,-116.3013267,0,13
92805,Orange County,33.8276052,-117.9073244,70,57
92647,Orange County,33.7222674,-118.00104209999999,70,80
93405,San Luis Obispo County,35.2994482,-120.6890055,8,29
93063,Ventura County,34.275113,-118.7095413,81,69
91008,Los Angeles County,34.1624549,-117.9659037,0,
90020,Los Angeles County,34.0655627,-118.30966480000001,98,66
92305,San Bernardino County,34.1752565,-116.8674757,1,
93432,San Luis Obispo County,35.4830274,-120.45880590000002,0,6
90731,Los Angeles County,33.7241323,-118.26435670000001,2,56
91006,Los Angeles County,34.11723610000001,-118.0244639,41,40
95482,Mendocino County,39.14119700000001,-123.213851,57,51
91750,Los Angeles County,33.7526686,-117.9190418,77,56
91748,Los Angeles County,33.981033700000005,-117.88974679999998,43,38
95426,Lake County,38.82142959999999,-122.7191963,29,6
90049,Los Angeles County,34.096305799999996,-118.4980744,0,
95461,Lake County,38.7548746,-122.6051351,30,8
92821,Orange County,33.93167329999999,-117.86044720000001,2,10
92646,Orange County,33.6587745,-117.9659037,54,72
93651,Fresno County,34.3780816,-117.9014654,0,
92254,Riverside County,33.538170799999996,-115.98227469999999,0,25
91708,San Bernardino County,33.9522626,-117.6493515,11,23
90703,Los Angeles County,33.872455200000005,-118.05959070000002,64,50
90024,Los Angeles County,34.0631451,-118.4367551,76,69
91780,Los Angeles County,34.0982956,-118.05959070000002,53,55
91740,Los Angeles County,34.1194758,-117.848726,10,15
93036,Ventura County,34.232893700000005,-119.17976499999999,62,49
95623,El Dorado County,38.6100779,-120.86137849999999,0,
92037,San Diego County,32.828325899999996,-117.255854,13,23
92688,Orange County,33.63736,-117.60827739999999,52,59
93035,Ventura County,34.190302100000004,-119.22626670000001,55,55
95607,Yolo County,38.7963491,-122.1064668,0,3
92091,San Diego County,33.04680030000001,-117.19117490000001,0,10
95454,Mendocino County,39.855247999999996,-123.51754129999999,0,19
91724,Los Angeles County,34.085803399999996,-117.86044720000001,36,42
91604,Los Angeles County,34.1366259,-118.3987842,35,18
95953,Sutter County,39.269055,-121.7879244,0,
95914,Butte County,39.417587,-121.38846709999999,0,
90005,Los Angeles County,34.0578814,-118.30966480000001,96,61
92866,Orange County,33.78344939999999,-117.8457956,48,76
96148,Placer County,39.2597037,-120.0549683,0,15
90277,Los Angeles County,33.832212899999995,-118.38709909999999,70,84
90623,Orange County,33.847795399999995,-118.0449554,65,72
95627,Yolo County,38.6733773,-122.01554909999999,0,38
92586,Riverside County,33.708485499999995,-117.20293629999999,9,37
95633,El Dorado County,38.8520489,-120.7809676,3,2
94030,San Mateo County,37.5958949,-122.4184108,6,25
93015,Ventura County,34.416361200000004,-118.8829816,0,
94618,Alameda County,37.843819200000006,-122.23986359999999,57,44
93451,San Luis Obispo County,35.867428100000005,-120.57395790000001,0,
91745,Los Angeles County,33.999085799999996,-117.98347379999998,2,2
93060,Ventura County,34.408910600000006,-119.0692659,2,1
92327,San Bernardino County,34.8667466,-116.85569550000001,0,27
93240,Kern County,35.628376200000005,-118.41631029999999,2,5
93453,San Luis Obispo County,35.4137653,-120.20510959999999,0,
91340,Los Angeles County,34.291304600000004,-118.4338345,86,51
94597,Contra Costa County,37.9193365,-122.0780632,39,38
92869,Orange County,33.803889399999996,-117.77252,6,11
92831,Orange County,33.881921999999996,-117.89560619999999,45,56
90630,Orange County,33.816539,-118.0361736,70,71
91307,Los Angeles County,34.212444399999995,-118.6848112,0,
91354,Los Angeles County,34.4627169,-118.56228929999999,28,19
94971,Marin County,38.2547479,-122.9099545,11,10
94707,Alameda County,37.898366499999995,-122.27956670000002,60,44
91024,Los Angeles County,34.193431200000006,-118.0478826,0,
95694,Yolo County,38.560069899999995,-122.01554909999999,0,27
94586,Alameda County,37.5867626,-121.8334868,0,1
95070,Santa Clara County,37.26383189999999,-122.023004,30,51
95548,Del Norte County,41.5863265,-124.03913419999999,0,
94559,Napa County,38.22965,-122.32208940000001,0,26
92870,Orange County,33.880241600000005,-117.86044720000001,51,49
93023,Ventura County,34.5125711,-119.3714909,0,
95416,Sonoma County,38.313764899999995,-122.48129579999998,83,60
94121,San Francisco County,37.7813454,-122.49766799999999,82,58
92705,Orange County,33.75323579999999,-117.7901088,3,4
93065,Ventura County,34.2774306,-118.7897558,19,44
90292,Los Angeles County,33.9684276,-118.45719740000001,38,54
90755,Los Angeles County,33.8020217,-118.1678543,80,32
90048,Los Angeles County,34.074154799999995,-118.37249150000001,91,73
93950,Monterey County,36.62011800000001,-121.918866,91,72
90403,Los Angeles County,34.027989500000004,-118.49515500000001,87,94
95540,Humboldt County,40.60718050000001,-124.11327460000001,0,
94019,San Mateo County,37.49030820000001,-122.43539950000002,10,8
91423,Los Angeles County,34.1482691,-118.4338345,85,56
95129,Santa Clara County,37.305227200000004,-121.98712169999999,47,72
91406,Los Angeles County,34.1985119,-118.4980744,72,49
90069,Los Angeles County,34.093160299999994,-118.37833470000001,84,33
92833,Orange County,33.8749591,-117.9659037,47,55
90014,Los Angeles County,34.0434783,-118.2519314,98,93
91709,San Bernardino County,33.959453,-117.72560829999999,6,2
91355,Los Angeles County,34.4400287,-118.5914696,19,32
95926,Butte County,39.7461315,-121.84487450000002,72,69
92708,Orange County,33.7168761,-117.9600466,71,67
91792,Los Angeles County,34.033221399999995,-117.9073244,48,17
91107,Los Angeles County,34.16423960000001,-118.0830047,32,42
92865,Orange County,33.8316472,-117.848726,28,41
91356,Los Angeles County,37.3304014,-121.8391808,32,41
91914,San Diego County,32.6762339,-116.9440313,3,
92663,Orange County,33.615828,-117.9307584,90,81
94956,Marin County,38.037356700000004,-122.81973290000002,0,20
91754,Los Angeles County,34.0472318,-118.1415261,62,28
93609,Fresno County,36.52027750000001,-119.8583772,0,25
95686,San Joaquin County,38.231148,-121.4770388,0,42
93619,Fresno County,34.178937899999994,-118.4338345,75,77
94904,Marin County,37.941063,-122.56555490000001,2,20
92845,Orange County,33.7852683,-118.02739140000001,72,55
92867,Orange County,33.8186385,-117.8282121,52,57
91405,Los Angeles County,34.2037124,-118.45719740000001,63,60
91755,Los Angeles County,34.042781899999994,-118.1181199,25,8
94599,Napa County,38.39844600000001,-122.373094,10,3
93444,San Luis Obispo County,35.044361200000004,-120.45880590000002,0,22
95032,Santa Clara County,37.2260616,-121.9302449,0,6
90732,Los Angeles County,33.7349075,-118.3140488,46,44
95919,Yuba County,39.4338542,-121.23974380000001,0,6
95562,Humboldt County,40.4175329,-124.11848390000002,0,
91784,San Bernardino County,34.1616368,-117.6552185,3,4
94548,Contra Costa County,37.9714216,-121.66395770000001,12,37
94542,Alameda County,37.656116499999996,-122.0326019,18,19
96143,Placer County,39.256950399999994,-120.0145169,3,19
91390,Los Angeles County,34.4964601,-118.3346172,20,24
94941,Marin County,37.9060624,-122.5712101,12,25
93940,Monterey County,36.5760412,-121.822098,24,11
92626,Orange County,33.68341420000001,-117.9073244,82,60
94960,Marin County,37.9885355,-122.56555490000001,23,34
91403,Los Angeles County,34.1423899,-118.45719740000001,12,6
92130,San Diego County,32.9436607,-117.20881670000001,15,28
90025,Los Angeles County,34.0448583,-118.4484367,94,76
95531,Del Norte County,41.7557501,-124.2025913,75,71
95942,Butte County,40.0694093,-121.60548929999999,0,1
94583,Contra Costa County,37.762464200000004,-121.98143540000001,19,18
93563,Los Angeles County,34.4053384,-117.7490656,0,
90404,Los Angeles County,34.02875,-118.47179750000001,88,98
93440,Santa Barbara County,34.744559100000004,-120.27795079999999,42,41
95457,Lake County,38.858136,-122.5146439,0,
94404,San Mateo County,33.7963296,-118.1181199,74,52
94930,Marin County,37.987314500000004,-122.5891656,91,53
92124,San Diego County,32.8250787,-117.091176,17,20
91105,Los Angeles County,34.1406082,-118.1678543,11,15
90260,Los Angeles County,33.8922687,-118.3520389,90,59
95493,Lake County,39.225184999999996,-122.99446359999999,0,1
92584,Riverside County,33.65573870000001,-117.185294,1,
90638,Los Angeles County,33.904554299999994,-118.0127534,45,63
94037,San Mateo County,37.5409047,-122.51181480000001,32,30
94704,Alameda County,37.86373760000001,-122.26822450000002,94,96
94555,Alameda County,37.5677679,-122.05221770000001,67,65
91602,Los Angeles County,34.1487141,-118.36080459999998,70,60
94127,San Francisco County,37.734646000000005,-122.46370800000001,72,53
95132,Santa Clara County,37.4010609,-121.8643855,44,53
95492,Sonoma County,35.3964972,-118.98197309999999,76,43
92333,San Bernardino County,34.263633299999995,-116.97346850000001,0,19
93601,Madera County,37.38881900000001,-119.7310213,0,1
93449,San Luis Obispo County,35.16628600000001,-120.64875079999999,0,11
93523,Kern County,34.9609579,-117.85458670000001,0,37
92780,Orange County,33.7372177,-117.81355790000002,80,58
94044,San Mateo County,37.610176700000004,-122.4806894,10,3
92103,San Diego County,32.749789,-117.16765009999999,92,57
95451,Lake County,38.923008200000005,-122.7858791,0,
91316,Los Angeles County,34.1583323,-118.51559009999998,68,47
92662,Orange County,33.606146200000005,-117.89121170000001,77,65
93066,Ventura County,34.2989933,-119.0227159,0,
91801,Los Angeles County,38.125624200000004,-122.1973081,4,16
