ZipCode,County,Lat,Lng
92614,Orange County,33.6832497,-117.8340735
90028,Los Angeles County,34.1012181,-118.325739
91789,Los Angeles County,34.0130769,-117.8428651
92203,Riverside County,33.745603,-116.1713917
94595,Contra Costa County,37.8655663,-122.0666997
95141,Santa Clara County,37.1676857,-121.7708337
92806,Orange County,33.8362104,-117.8721676
92606,Orange County,33.6912614,-117.8223506
92270,Riverside County,33.7694489,-116.431192
92004,San Diego County,33.2566501,-116.3749797
94115,San Francisco County,37.7877522,-122.4382307
96080,Tehama County,38.3986068,-122.7520139
90017,Los Angeles County,34.0543797,-118.2672801
92657,Orange County,33.5974299,-117.8370041
95415,Mendocino County,39.022009,-123.3822764
95428,Mendocino County,39.8066831,-123.213851
91362,Ventura County,34.1971476,-118.824722
96130,Lassen County,40.6402981,-120.6199895
92782,Orange County,33.7344836,-117.7930401
93620,Merced County,37.0455625,-120.6429991
95450,Sonoma County,38.4542093,-123.1126559
95419,Sonoma County,38.4248846,-122.9582487
93435,San Luis Obispo County,35.5033829,-121.0392436
90274,Los Angeles County,33.7793751,-118.3520389
94087,Santa Clara County,37.3492097,-122.0326019
91007,Los Angeles County,34.1216975,-118.0478826
93664,Fresno County,37.0875479,-118.9994357
96109,Lassen County,40.0060389,-120.112735
91377,Ventura County,34.1880333,-118.7606115
94508,Napa County,38.5725972,-122.4353995
90067,Los Angeles County,34.0571327,-118.4148498
90290,Los Angeles County,34.1076983,-118.61481
95925,Butte County,39.4828107,-121.1538564
95735,El Dorado County,38.8153606,-120.147383
93013,Santa Barbara County,34.4212588,-119.4875668
93552,Los Angeles County,34.5811542,-118.0303189
95537,Humboldt County,40.7242937,-124.2178534
95490,Mendocino County,39.505272,-123.3486147
94038,San Mateo County,37.5463543,-122.4863492
95558,Humboldt County,40.2800107,-124.1939287
92883,Riverside County,33.7407483,-117.4791295
94933,Marin County,38.0008669,-122.6786008
90275,Los Angeles County,33.7456493,-118.3637264
96055,Tehama County,40.0780017,-122.0610174
91963,San Diego County,32.6590536,-116.5845767
91765,Los Angeles County,33.9945546,-117.8135579
93206,Kern County,35.4283801,-119.4875668
94158,San Francisco County,37.7748363,-122.3872576
90405,Los Angeles County,34.00974600000001,-118.4659576
92624,Orange County,33.4559258,-117.6640187
95445,Mendocino County,38.8053731,-123.5056016
95253,San Joaquin County,38.137643,-121.2065426
92823,Orange County,33.9254328,-117.8018337
93428,San Luis Obispo County,35.5925142,-121.0564425
93312,Kern County,35.3734151,-119.1274334
90505,Los Angeles County,33.8101772,-118.3520389
96128,Lassen County,40.3494181,-120.378138
94305,Santa Clara County,37.4135757,-122.1689284
95524,Humboldt County,40.8221629,-124.0494434
96035,Tehama County,40.0358413,-122.1973081
93901,Monterey County,36.6623815,-121.6454222
94568,Alameda County,37.7202463,-121.8676464
92692,Orange County,38.7637052,-121.2912463
93012,Ventura County,34.2295937,-118.9761519
93067,Santa Barbara County,34.4205066,-119.601738
95616,Yolo County,38.5474428,-121.7765309
91962,San Diego County,32.7750935,-116.4429944
92887,Orange County,33.8976995,-117.7256083
92070,San Diego County,33.2123927,-116.7260713
94114,San Francisco County,37.7561438,-122.4325682
94556,Contra Costa County,37.8357202,-122.1178261
96092,Butte County,39.9811574,-122.0155491
95521,Humboldt County,40.8805372,-124.0874754
92801,Orange County,33.8469812,-117.9541894
92677,Orange County,33.5320292,-117.702148
