Zip_Code,zip_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,MsaName,Unnamed: 2,Current_Rent,rent_value_mm,rent_value_yy,Median_ROI,lat,lng
94509,"antioch, ca",467475.0,-0.0106,0.0999,23.0,-0.2813,-0.623,27.0,1.076923077,-0.16923076899999998,48.0,-0.25,-0.0769,4.0,,,0.0,,-1.0,94.0,0.09300000000000001,0.033,311.0843248,0.0986,0.126,1302.0,-0.0545,-0.0683,450034.2583,-0.0015,0.1182,117.0,-0.0085,-0.2303,4.0869565219999995,1.3995,2.5952,San Francisco, CA,2235.0,0.007664563,0.090775988,5.74,38.0083802,-121.7993168
92545,"hemet, ca",337450.0,0.0383,,31.0,0.1071,,24.5,0.53125,-0.524271845,56.0,0.1667,0.2727,8.0,,,0.0,,-1.0,107.0,-0.0531,0.1758,200.9134811,0.0052,0.17,1554.0,-0.0086,-0.1048,328604.7414,0.036000000000000004,0.1125,138.0,-0.0213,-0.2737,3.451612903,-0.5841,2.5324,Riverside, CA,1599.0,0.010745891,0.125263899,5.69,33.736074,-117.0205594
93551,"palmdale, ca",554999.5,0.0091,,113.0,0.2283,-0.3925,27.0,0.542857143,-0.386363636,160.0,0.1111,0.4286,12.0,0.0,0.5,8.0,0.0,-0.7143,291.0,0.1367,0.7636,232.89266380000004,0.0109,0.2283,2511.0,0.0115,0.0187,630852.2124,-0.0359,0.231,404.0,0.1609,0.151,2.575221239,-0.2074,1.6881,Los Angeles-Long Beach-Anaheim, CA,2614.0,0.008098727,0.089620675,5.65,34.594158,-118.1824793
95670,"rancho cordova, ca",432000.0,0.0385,0.1221,23.0,0.3529,-0.5577,8.0,0.454545455,,52.0,0.3,0.1818,0.0,,,0.0,,-1.0,76.0,0.027000000000000003,0.4615,286.2399502,0.0494,0.1821,1588.0,0.0312,0.0252,461135.7332,-0.0373,0.0868,99.0,0.0879,-0.0481,3.3043478260000003,-1.0486,2.3043,Sacramento, CA,1999.0,0.005533199,0.06784188,5.55,38.5961116,-121.2969674
94565,"pittsburg, ca",517000.0,-0.0659,0.1059,28.0,-0.1515,-0.5484,18.5,1.3125,-0.548780488,44.0,-0.2667,0.375,0.0,,-1.0,0.0,,-1.0,96.0,0.1163,0.0909,338.99000750000005,0.0529,0.1235,1528.0,-0.0897,-0.0515,525933.853,-0.0849,0.0605,124.0,0.042,-0.1733,3.428571429,0.8225,2.0092,San Francisco, CA,2386.0,0.003786285,0.046950417,5.54,38.0182853,-121.9245556
92404,"san bernardino, ca",375000.0,0.0,0.1468,33.0,0.1786,,20.0,0.538461538,-0.6,44.0,0.1,0.5714,4.0,0.0,0.0,0.0,,-1.0,81.0,0.1408,0.2656,260.5400284,0.0178,0.1586,1389.5,-0.1396,0.0165,434216.4265,-0.0438,0.32,114.0,0.1515,-0.1915,2.454545455,-0.0812,1.6234,Riverside, CA,1704.0,0.008880995,0.110821382,5.45,34.1585191,-117.2554498
91605,"north hollywood, ca",444999.5,0.4858,,18.0,0.0588,-0.3571,53.0,0.23255814,0.37662337700000004,12.0,0.0,0.0,0.0,,,4.0,0.0,0.0,27.0,-0.2059,0.125,407.14285710000007,0.0715,0.046,965.0,-0.1798,-0.3345,511900.0664,0.0704,-0.1477,45.0,-0.1176,-0.1346,1.5,-0.5,0.6429,Los Angeles-Long Beach-Anaheim, CA,2014.0,0,0.003988036,5.43,34.208195,-118.3987842
93063,"simi valley, ca",682000.0,-0.055999999999999994,0.0766,26.0,-0.037000000000000005,-0.3158,21.0,2.0,-0.58,48.0,-0.1429,2.0,0.0,,,4.0,,-0.5,99.0,0.0879,0.7069,375.7786841,0.0344,0.1037,1826.0,-0.0665,0.0133,707121.6026,-0.0648,0.0251,125.0,0.0593,0.3021,3.807692308,0.4373,2.2814,Ventura, CA,3085.0,0.004558776,0.049319728,5.43,34.275113,-118.7095413
95835,"sacramento, ca",507000.0,0.0974,,24.0,1.0,-0.4,5.5,1.2,,68.0,0.7,0.5455,0.0,,,4.0,,0.0,61.0,-0.1286,0.1509,254.4804337,-0.0091,0.1619,2005.5,0.1105,0.0753,540627.1275,0.081,0.2611,85.0,0.0366,-0.086,2.541666667,-3.2917,1.2167,Sacramento, CA,2283.0,0.006170119,0.077394998,5.40,38.6853213,-121.5541264
91702,"azusa, ca",531500.0,-0.0319,0.0641,15.0,-0.375,,8.0,-0.448275862,,28.0,-0.2222,0.75,0.0,,,0.0,,-1.0,65.0,0.1207,0.4773,395.8880641,0.009000000000000001,0.0851,1351.5,0.0192,0.0473,544732.2532,-0.2068,0.0013,80.0,-0.0244,-0.0123,4.333333333,1.9167,3.1441,Los Angeles-Long Beach-Anaheim, CA,2384.0,0.0042123,0.044697634,5.38,34.2667473,-117.8545867
